Description,Key Partners,Key Activities,Key Resources,Value Propositions,Customer Relationships,Channels,Customer Segments,Cost Structure,Revenue Streams,Company,,,,,,,
,,,Donations Online Store (Merchandise),,mobile App,Word of Mouth,,Human Resources,,,,,,,,,
"While the core offer is sold at a fixed monthly price, the additional offer of human correction services can result in high final prices. Here, as previously mentioned, there are three options to choose from 24 hours, 3 hours, 30 minutes. For these, a surcharge is due for each use.",Investors,Natural language processing,Huge user base,Help people communicate more effectively and fluently (in English),Weekly reviews Helpservice,Word of mouth,Blogger,Office,Premium memberships,grammarly,,,,,,,
,Professionals from the language sector,Product and service development,Sophisticated algorithms and machine learning,Provide users with more convenience and professionalism in using everyday communication channels,Recommendations,Website,Companies,R&D,,,,,,,,,
,Hardware and software providers,Platform maintenance,Artificial Intelligence,Direct sales,Chatbot (Website),Desktop App,Universities,Employees,,,,,,,,,
,Microsoft,Content development,Human capital,,Customer Support,Community,"Students, Pupils",Cloud-based platform,,,,,,,,,
,Payment processing services,Sales,Networking,,,"Facebook, Twitter, GoglePlus, Linkedin, Youtube",Authors,Maintenance management,,,,,,,,,
,,Marketing,Digital platform (app and desktop),,,TV commercials and billboards,Journalists,Helpservice,,,,,,,,,
,,Helpdesk,Plagiarism detection,,,Search engine (e.g. Google Chrome),,Quality check,,,,,,,,,
"The wikifolio.com social trading platform is free of charge for both traders and investors. By presenting various trading strategies, it provides orientation for investors and makes it easier for them to enter the investment market. The individual wikifolios are explained with words and graphics to significantly increase comprehensibility. Finally, investors can invest in wikifolio certificates without lengthy and complicated advisory processes.",Lang & Schwarz,Provide technical infrastructure for the presentation and collection of information on Wikifolios.,Wikifolio Certificates,"simple, understandable and transparent trading in securities",Service Team (by phone or e-mail),Website,"Investors who lack the time and knowledge to deal with the investment market, but who still want to invest profitably",Start-up costs,Certificate fee: 0.95% per year (calculated on a daily basis in the wikifolio),wikifolio,,,,,,,
,Stuttgart Stock Exchange,Recruiting other interested investors and traders to stimulate network effects,Social trading platform,democratisation of the investment market,Affiliate programme,Social media,Traders who want to present their trading ideas in the Wikifolios (model portfolios) and thus make money from them,Development and design of the social trading platform,Performance fee: between 5 % and 30 % (determined by the trader; according to the high watermark principle; trader receives up to 50 % of this as a performance fee),,,,,,,,
,Investors,Ensuring the legal defensibility of the concept,Network effects,free registration,Extensive FAQs and explanatory videos,Blog,,Personnel costs,"Traders do not bring a direct revenue stream, as the use of the platform is free of charge",,,,,,,,
,Financial portals and house banks through which investments can be made in Wikifolio certificates,Spreading the idea behind social trading,"active, interested investors and traders",Guidance on the investment market,,Tutorials,,Marketing,,,,,,,,,
,Trader,Establishing partnerships,,Available from the house bank or from well-known financial portals,,Public Relation,,Costs for maintaining / expanding the partner network,,,,,,,,,
,,Offering assistance in various forms,,Possibility to turn your own trading strategies into money,,,,Legal protection,,,,,,,,,
,,,,,,,,Affiliate programme,,,,,,,,,
"Everdrop is currently only active in the cleaning sector, but is planning to enter the cosmetics and hygiene sector at the beginning of next year. This means that the company is active in several sectors under one name.",Producers,Product design,Packaging,Environmental friendliness made easy,Customer Service FAQ's,Website,LOHAS (Lifestyle of Health & Sustainabilities,Product development,Sale of sets and detergents,everdrop,,,,,,,
,Logistics partner,Production of tabs,Products,Practical & Efficient,Social Media Platforms,Social Media,,Platform design (UI/UX),Refilling of sold products,,,,,,,,
,Dealers,Filling,Design & brand identity,Inexpensive,Long-term sustainability,Blog,,Human resources,Subscription,,,,,,,,
,Payment providers,Packaging management,Subscription system,CO2 Reduction,Customer loyalty (subscription),Word of Mouth,,Marketing & Design,,,,,,,,,
,Research institutes (seals) and associations,Customer service,Online Shop,Plastic neutral,"Community of ""sustainable cleaners"" (Instagram)",Awards,,Retailer levies,,,,,,,,,
,Investors,Marketing,Human Know-How,Customisable,,Trade,,Manufacturing,,,,,,,,,
,Investors,Product Development,,Climate friendly shipping,,Influencer,,Logistics,,,,,,,,,
,,Sales,,Attractive design,,,,,,,,,,,,,
,,Quality Control,,,,,,,,,,,,,,,
Owlet increases convenience for its customers by enabling parents to read their children's vital signs in real time at home on their smartphones and to be informed immediately of any medical complications.,Parents,Community management,Data,Early recognition of medical emergencies,Online-Support-Team,Website,Parents,Development of the products,Distribution of the products,owlet,,,,,,,
,Investors,Customer care,Technology,Peace of mind,,Mobile App,Research,Design of products,Provision of data,,,,,,,,
,Hospitals,Marketing,Products,Information,,Social media,,Human resources,,,,,,,,,
,Doctors,Product Development,Knowledge,Research achievement,,Blogs,,Marketing,,,,,,,,,
,Scientists/Researchers,,,,,Public relations,,Fixed fees,,,,,,,,,
,,,,,,Word of mouth,,,,,,,,,,,
The materials provided during the event do not belong to the participants. They can take home the artwork they have painted with the borrowed materials.,Investors,Organise offline and online events,Website,Website is easy to use,B2B Concept,Website,Anyone or anyone who is creative,Development of the platform,through a wide range of events,artnight,,,,,,,
,Company,Connecting clients with artists and locations,Employees,Networking effect through events,Offers job opportunity,Social Media,likes to try things out and learn,Payment of the artists,Ticket sales,,,,,,,,
,Artists,Create different types of events,Locations,Offering offline and online events,Events generate turnover in bars and restaurants,Word of Mouth,wants to get to know new places,Payment of staff,Percentage of ticket sales,,,,,,,,
,Bars and Restaurants,Enter into cooperation with artists,Artists,Provides a unique experience,Great social benefit,Events,and would like to expand their social contacts.,Maintenance,Drinking and eating,,,,,,,,
,,Enter into cooperations with bars and restaurants,Materials,Materials are included,Events give pleasure /creation of an emotional bond with Artnight events,Press,Anyone who wants to be creative but does not have the necessary know-how or materials.,Performance marketing,,,,,,,,,
,,,,Offers a wide range of pictures to paint,,,,Material costs,,,,,,,,,
,,,,Provides free marketing Increases the level of awareness,,,,,,,,,,,,,
,,,,Provides additional income,,,,,,,,,,,,,
,,,,Provides a way to relax outside your own 4 walls,,,,,,,,,,,,,
"Patients pay a flat rate per consultation. Although this is claimed by onlinedoctor.ch, it is shared between the selected dermatologist and the online platform. Thus, the former receives the so-called case fee, with the remaining referral fee accruing to onlinedoctor.ch. In this way, both the specialist and the company receive a commission, so to speak, for the completed dermatological consultation.",Dermatologists,Supplement/second opinion,Expertise,Personal service,Medical team,Website,Private clients (= patients who would like to get a specialist opinion on their skin disease or wound),Website maintenance (+ platform development),Online treatment,onlinedoctor,,,,,,,
,Partner Clinics/Hospitals,Diagnosis,Marketing,Availability 24/7 (independent of time and place),Website,Social Media,Other enquirers (such as pharmacies or hospitals),Marketing/advertising,Onlinedoctor.ch retains only the referral fee as part of the following case flat rates,,,,,,,,
,Universities,Build customer trust Bringing patients and dermatologists together in a protected digital environment,Network effects,Distance dermatologist,Social media,Word of Mouth,Dermatologists who make their expertise available in the form of telemedicine,Case fee for the dermatologist due per consultation,"CHF 55 (per consultation; self-pay benefit, which is not usually reimbursed)",,,,,,,,
,Investors,Ensure data protection and legal compliance,functioning platform,data protection compliant,FAQ,Advertising in partner clinics,,Legal costs,CHF 44 (for Sympany policyholders with supplementary outpatient insurance),,,,,,,,
,"Payment systems (e.g. PayPal, Visa, ...)",,Brand,easy handling,Support (contact form),,,Set-up costs,Reduced price for CSS policyholders,,,,,,,,
,Health insurances,,,professional assessment of skin problems or wounds at a distance,,,,,Dermatologists can use the platform free of charge no revenue stream,,,,,,,,
,Cooperation with iCros (smartphone microscopy attachment),,,trustworthy initial or second opinions to complement conventional examinations,,,,,,,,,,,,,
,Subsidiary company (OnlineDoctor 24 GmbH),,,free choice of dermatologist,,,,,,,,,,,,,
,,,,feedback within 48 hours,,,,,,,,,,,,,
,,,,flexible additional offer for own patients,,,,,,,,,,,,,
,,,,intuitive interface for organising requests,,,,,,,,,,,,,
,,,,free of charge,,,,,,,,,,,,,
,,,,part of a network,,,,,,,,,,,,,
,,,,automatic billing,,,,,,,,,,,,,
,,,,flexible processing of requests (triage tool),,,,,,,,,,,,,
"On the one hand, Refurbed has a strong focus on the remanufacturing of electronic devices, but on the other hand they also sell refurbished products in the area of fashion or household products such as hoovers or kitchen machines.",Dealers,Technological infrastructure and design,Brand,trustworthy platform,Customer service,Website,"Buyer (Internet-savvy, because online marketplace)",Platform development,Sale of refurbished electronics,refurbed,,,,,,,
,Stripe (payment provider),Dealer selection,Platform,Quality assurance,Reviews and comments,Social Media,Dealers,Platform design (UI/UX),Sale of refurbished clothing,,,,,,,,
,Seller,Quality assurance of dealers & products,Employees,1-year warranty,Q&A on website,Blog,Seller,Subcontracting to Stripe (payment provider),,,,,,,,,
,Large companies,Communication between trader and customer,Culture (sustainability),30-day return policy,Website,TV Advertising,,human resources,,,,,,,,,
,Individuals,Customer service,Dealer network,Home delivery,,Word of Mouth,,Marketing,,,,,,,,,
,Parcel service providers,Marketing,Seller network,Large product selection,,,,Quality assurance controls,,,,,,,,,
,,,,Environmentally friendly,,,,Charges to traders,,,,,,,,,
,,,,Professional marketplace,,,,Charges to seller,,,,,,,,,
,,,,High customer frequency,,,,,,,,,,,,,
,,,,Uniform price,,,,,,,,,,,,,
,,,,Customer service / communication tools,,,,,,,,,,,,,
,,,,Reuse of products,,,,,,,,,,,,,
,,,,Environmentally friendly,,,,,,,,,,,,,
"Ankerkraut does not only focus on spices, but also offers complementary products. These include mixtures for baking, specifically for barbecuing and also for mixing drinks. In addition, there are already two cookbooks as well as accessories such as barbecue tongs, tea towels, cork glasses, notebooks, etc.. This is what sets Ankerkraut apart from its competitors (Just Spices, for example, only has spices, ready-mixes for dishes and salad dressings).",Herbs Manufacturer,Blending of the spices,Investments,Spices without additives,Charitable undertakings,Website,Customers who want to buy spices regionally and sustainably,Herbal and packaging costs,Website revenue,ankerkraut,,,,,,,
,Distribution network,"Development of blends and additional products (cookbooks, Advent calendars, ...)",Herbs,Regional production,Recipes,E-mail,Customers who want to try out new spice blends,Platform development and maintenance,Store revenue,,,,,,,,
,Influencer/Advertising Partner,Sales through the website,Recipes of the mixtures,Sustainable packaging,Personalised website,Blog,Customers who like to barbecue,IT infrastructure,Supermarket Revenue,,,,,,,,
,Investors,Marketing of the products online and in stores,Warehouses and production facility,Developing a sustainable and social supply chain,Cross-selling recommendation,Social Media,Barbecue schools,Operating costs and staff costs,Investments,,,,,,,,
,Supermarkets / (online) retailers ,,Marketing,Fair and respectful cooperation,Recognition of their supporters (Facebook fan group and upcycling ideas from clientele are emphasised).,Podcasts,"Supermarkets and other retailers (including specialist barbecue shops, DIY shops, delicatessens, butchers, wine depots, unpacked shops)",Marketing costs,,,,,,,,,
,,,IT Infrastructure,Full declaration of ingredients (although it is not obligatory for some ingredients and substances),,Stores,,"Agencies for advertising, personalisation and cross-selling",,,,,,,,,
,,,Staff,Organic line that is certified,,Supermarkets,,Development of new products in the range,,,,,,,,,
,,,,"Environmental awareness (e-cars, bicycles, but also support for charities)",,"Appearance in the show ""Höhle der Löwen??,,,,
Wonderbly sees itself as a design company. Their unique visual language runs very stringently through all channels and appeals to young and older people alike.,Parents,Product innovation,Brand,Customisation,Customer service (online),Website,Customers,Product development,Distribution of the products,wonderbly
,Families,Marketing,Technology,Reading security,Vacancies (online),Social media,Families,Product design,Provide technology,
,Business partners,Distribution,Expertise,Diversity,,Blogs,Children,Human resources,,
,Investors,Partnerships,Corporations,Experiences,,Public relations,People looking for a special gift,Marketing,,
,Production,,,Quality standard,,Word of mouth,,Payment of fees,,
Sushi Bikes lets the customer pay first"," and only then is production started. The idea was to be able to finance the development of the online shop through advance orders and to produce from the cash flow in order to generate security and stability.""",Manufacturing partner(Asia),Generate product diversity,Website,"Easy assembly of the e-bike (Youtube videos, instructions)",Flexibility in everyday life,Website / Online Shop,"Young cyclists, students and people",Operations and customer support,Turnover from test drives leads to subsequent purchase,sushi-bikes
,Investor and co-founder (Joko Winterscheidt),Optimise organic cycle,Employees(Know-How),Delivery to your doorstep,"Stylish, light. fast",App,"who pay attention to the aesthetics of e-bikes, and those",Product development,"Turnover from pop-up stores, test festivals, trade fairs, showrooms leads to subsequent purchase",,,,,,,,
,Insurance partner,Drive product development,Financial resources,"Clear, structured website",Independence in everyday life,Social Media,who like to cycle in the city,Staff,Turnover from online sales of e-bikes,,,,,,,,
,Test drive partner (List and Ride),Ensure a fair price,Brand,Price/performance,Convenience (online ordering),Pop-Up Stores,and would like to expand their social contacts.,Payment of various partners,,,,,,,,,
,Shipping service provider (GLS),Operate an online shop,Removable batteries,Minimalist design,Reliable customer service,Trade fairs,to be more sustainable on the road,Avoidance of costs of permanent warehousing and dealer margins / sales are made directly via the website,,,,,,,,,
,Service partner (Yeeply),Establish cooperation with insurance and service partners,,Sustainability (promotion of green mobility),,Testivals,,,,,,,,,,,
,,"Obtain communication channels (Instagram, Facebook, LinkedIn, etc.)",,Flexibility in charging,,Showrooms,,,,,,,,,,,
,,,,,,Newsletter,,,,,,,,,,,
,,,,,,Joko Winterscheidt (mentions in shows etc.),,,,,,,,,,,
"Clubhouse consists of a large community - like other social media platforms, such as Instagram or Facebook. This large community makes it possible for many people with common interests to get together and have exciting discussions.",Developers testing new formats and experimenting with new ways to engage audiences,Events,Online platform,Social radio,Referral-based platform that works by invitation only,App,"Creatives - writers, musicians, designers, etc. - have a large presence on Clubhouse, along with their fans/audiences.","Platform development - scaling with new servers, Android app development and building in monetisation features.","Currently Clubhouse has no dedicated revenue creator tools (tickets, tips, etc.): current efforts are focused on building monetisation mechanisms for creators",clubhouse,,,,,,,
,Investors,Software Development,Brand,"Enables users to enter spaces, explore new topics, make contacts, learn about different",Growth through referrals means clients build their own networks,Website,"Influencers, who use all the major social platforms to build their brands, are another large segment","Support and security/trust teams - moderating content, approving clubs, ensuring high quality content.",Club sponsorship: a potential future advertising avenue for major brands and companies.,,,,,,,,
,Software developers,Growth Management,Exclusivity,"Creator Platform - for creators, the platform promises exposure and networking","Help service, support team (online)",Social Media,Educators - people with specific expertise.,,"Other potential ways to generate revenue: Placing advertisements, selling tickets to (offline) company events or charging a membership fee for access to premium content.",,,,,,,,
,Users,,Network (including creators),"It allows people everywhere to talk, tell stories, develop ideas, deepen friendships, and meet interesting new people around the world.",,,"People who want to be educated, interested in insights, expertise etc",,,,,,,,,,
,"Influencers, Creators",,Content creator,Exclusive content,,,Audience,,,,,,,,,,
,,,"Programming of the app, software",Knowledge exchange,,,,,,,,,,,,,
,,,Fomo,Generation of interactions between users,,,,,,,,,,,,,
"There are 50,000 items in the Rose Bikes online shop. Returns are free and goods can be returned within 30 days. The company wants to make the buying experience as pleasant and uncomplicated as possible. In addition, hire purchase is possible and there is a leasing offer for companies.  ",Suppliers,Produce bicycles,Brand,The perfect bike according to the customer's wishes across all bike categories,Customer service,Website,Companies  B2B,Production,Online shop revenue,rose-bikes,,,,,,,
,Logistics partner,Sell bicycles,Online Store,Best service,Configuration on site,Social media,Commuters,Shipping,Revenues Local Shop,,,,,,,,
,Other brands represented in the shops,Product development,Shops,Regionality,Online configuration,PR,Sportsman,IT infrastructure,Leasing income of the bicycles for companies ! ,,,,,,,,
,Sportsman,,Configurator,Top price/performance ratio,,Word of Mouth,,Marketing,,,,,,,,,
,,,Human Capital,,,Trade fairs,,Sponsorships,,,,,,,,,
,,,Patents,,,Sporting events,,Personnel costs,,,,,,,,,
,,,,,,Sponsorships,,Product development,,,,,,,,,
"The membership fees are deducted from the client's account at the beginning of each month, usually automatically. This allows the company a certain liquidity.",Trained fitness instructors,App development,Brand,Trustworthy (because represented all over the world),Support Team,Website,"Consumers (fitness enthusiasts, people who want to get fitter, people who like to complete challenges)",App development,"Per membership (train 8x per month, train 6x per month, train limitless per month) ",f45-training,,,,,,,
,Fitness studios,Marketing,Gyms,Workouts possible at home and in the studio,Online application,Mobile app,Coaches,Studios,Franchise and applicable (ongoing) fees,,,,,,,,
,Ambassadors,Creation of new and improvement of existing products and services ,Fitness App,Community all over the world,Email support,Social media,Franchise partners,Human Resources,,,,,,,,,
,,,Data Centres & IT Infrastructure,,,Influencer,,Marketing,,,,,,,,,
,,,Human Resources,,,,,Payment fees,,,,,,,,,
,,,Large utility,,,,,,,,,,,,,,
Logitech offers the right products for every user in different price categories through the different product categories. They give users the opportunity to contribute ideas and wishes. They also try to enable people who are impaired by special peripherals to use computers.,Manufacturer,Research and development,Brand,Innovation,Support,Sales Team,B2C,Cost of goods,Sale of products,logitech,,,,,,,
,Suppliers,Production,Development department,Cost reduction,Newsletter,Website,B2B,Marketing costs,"Subscriptions to Circle Safe Basic: 69??year, Premium: 179??year, Web and Mobile Commander 59,99??year and Streamlabs 149$/year.",,,,,,,,
,Seller,Sale,Partner network,Brand and status,Community Forum,Social media,OEM,R&D costs,,,,,,,,,
,Cooperation partner,,Patents,User friendliness,Customer Service,Public Relations,,Administrative expenses,,,,,,,,,
,E-Sport Partner,,,,,Cooperations,,Personnel costs,,,,,,,,,
,,,,,,Trade fairs,,Sponsoring,,,,,,,,,
,,,,,,Podcast,,Affiliate marketing (affiliate program 5-10% commission),,,,,,,,,
The manufacturing capabilities of TSMC are used by themselves manufacturing thei rown designs but are also used by IDMs and Fabless companies.,Fabless Companies,Researching Manufacturing Technologies,Customers,Leading technology,Online Services,Website,Chip Designers,Research & development,Sales per Chip,tsmc,,,,,,,
,Integrated Device Manufacturers (IDM),Wafer manufacturing,Community of user,Leading manufacturing technology,Events,Press releases,,Online Services,,,,,,,,,
,IP Owners,Customer Service,Intellectual Property,Online Services for Customers,,,,Manufacturing,,,,,,,,,
,Foundry Technology company,IT-Systems,Cooperation with ASML,,,,,Human Ressources,,,,,,,,,
,Electronic Design Automation (EDA) companies,Open Innovation platform,,,,,,,,,,,,,,,
,Investors,,,,,,,,,,,,,,,,
"Backwerk carries out only those transactions that are so appealing that they are willing to take on the risk of a rental agreement. Only the best locations in heavily trafficked areas ensure their success. One BackWerk location is a bakery, a fast-casual dining experience, a coffee shop and a juice bar in one. This also means that multiple businesses are run out of each shop.",Consumers,Wide range of products,Brand,Known brand,Service in the shops,Website,People with little time (fast service),"Branch maintenance (cleaning costs, rent, etc.)","Partnership; (investment sum: approx. 100,000 - 200,000 euros; depending on shop type, equity capital: at least 80,000 euros; depending on shop type Franchise contract: 5 years, term Licence fee: 3,600 euros (10,000 - 15,000 euros are usual) Franchise fee: 5.5% of net sales revenue)",backwerk,,,,,,,
,Bloggers (social media),Service in the shops,Locations (e.g. railway stations),Fast and uncomplicated,Online via Blogger,Social media,People who do not want to spend a lot of money,Employees in the shops,,,,,,,,,
,Investors of the velora group,Marketing via bloggers,Community of different branch managers,Long opening hours,Mobile data form,,,Marketing,,,,,,,,,
,Service in the shops,,,Smart locations,,,,"Drinks, pastries, product costs",,,,,,,,,
,"Managers of shops, different locations",,,,,,,,,,,,,,,,
,Suppliers,,,,,,,,,,,,,,,,
,Too good to go,,,,,,,,,,,,,,,,
"Apart from the case and the app, Emme also implemented the subscription service. All of the company's services are complementary products to the others. Thus, the customer is not only tempted to use the case and the app, but also the pill subscription, as everything can be controlled via the app.",Investors,Provision of the birth control pill,User,Working case,Support team,Word of Mouth,Woman between 18 and 40,App development,Sales,emme,,,,,,,
,Producers,App maintenance,Medical professionals,Connectivity between case and app,App,Website (+ Blog),,Human resources,Subscription,,,,,,,,
,Payment provider,Expansion,Brand,Prescription of the appropriate pill,Telemedics,App,,Production costs,,,,,,,,,
,,,,Reliability,,Social media channels,,Marketing,,,,,,,,,
,,,,Timely delivery of the birth conrtol pill,,,,,,,,,,,,,
"The company has been able to build a strong community. In an investor talk by funder Niklas Bakos, he mentions that all viewers and players who see Adverty's advertisements take pictures and send them on. The company has successfully marketed itself with the help of its community.",Investors,Marketing,Brand,Marketing method with revolutionary technologies,Gamers perceive advertisements in the game,Website,Gamers who see advertising messages and ads from companies in video games,Platform development,Payments from companies using Adverty's service,adverty,,,,,,,
,Developers,Online marketing,Users: the players who see the advertisements,Place successful ads without advertising overload,Businesses are advised on the game and the placement of their advertising,Social media,Companies that want to advertise via Adverty in video games,Platform design,Payments from investors & sponsors,,,,,,,,
,Programmer,In-game marketing,providers: Companies that place their advertisements,Activation of new target groups,Online game developers are supported in the placement of advertising in their game,,Online game developers who place the advertisements in their game,IT,,,,,,,,,
,Players,Innovative technologies,Online game developers: who place the advertisements in their game,Reach of the advertising placement,Events & activities,,,Human Resources,,,,,,,,,
,Online game developers,Branding,Patents,,Social media,,,Marketing,,,,,,,,,
,Competitors,Brand advertising,Customer information,,,,,"Payment fees for rights, patents & copyrights",,,,,,,,,
,Company,,IT-Hardware,,,,,,,,,,,,,,
"Unlike traditional MBAs, ThePower Business School manages to offer a programme that is not only much cheaper, but also available regardless of time and place. This makes the knowledge accessible to a much larger audience. The way the content is presented also reduces difficulties in the learning process. Thus, the videos are practice-oriented, easy to integrate into everyday life and have a clear focus on a specific topic.",Lecturers,Updating the videos and additional materials,Learning platform,Microlearning (max. 15 min),Direct contact with interested parties (phone call),Website,"Participants who want to further their personal education, start up or develop their business in the future and who want to acquire first-hand economic tools and skills for this purpose.",Technical implementation of the website and learning platform,ThePowerMBA: 885??thepower-business-school,,,,,,,,
,Participating,Acquiring lecturers,"Community (graduates, participants, lecturers)",New videos every day,"Contact options via WhatsApp, email or Facebook Messenger",Social media,,Recruitment of lecturers,The Power Digital Marketing: 885??,,,,,,,,
,Partner companies that train their employees with ThePowerMBA,Organising community-building events,Relationships with lecturers and partner companies,Learning that can be integrated into everyday life,Live events of the community,Blog,,Video production (e.g. interviews with lecturers) and additional materials,ThePowerMBA Advanced: 1.410??,,,,,,,,
,Harvard Business publishing education,Discussing the latest methods and theories,Methodological and professional competences of the staff,Additional materials,Chat forums,"Word of mouth (partner companies, community)",,Staff costs,The Power Career: 350??,,,,,,,,
,,Recruit participants,,First-hand knowledge,Personal meetings,,,Marketing,Payment by instalments possible,,,,,,,,
,,Providing technical support and information material,,Business cases presented by top executives,,,,Money-back guarantee within the first 15 days,Prices of the Spanish language courses vary,,,,,,,,
,,Ensuring the quality of content,,International community,,,,Live events,,,,,,,,,
,,,,Know-how for immediate application in your own environment,,,,,,,,,,,,,
"Especially the reusability of THE BOX is one of its most essential features. The packaging itself can be used up to 1,000 times, which corresponds to about eight years of use. Only then are the raw materials processed in order to make the best possible use of them for new units. In this way, the life cycle can be extended, a circular economy can be established in eCommerce and sustainability can be promoted Community necessary for circularity.",Production partner,Developing and producing THE BOX,Patents,Sustainability in accordance with the SDGs,Helpdesk and FAQ,Website,Online retailers who use THE BOX to ship their goods and pay a rental fee for it,Foundation costs,"200??- 800??service fee per month according to the ""Packaging as a Service"" principle.",living-packets,,,,,,,
,Participants in the pilot project,Marketing the concept of LivingPackets,Construction of THE BOX,Optimisation of the mail order business and the customer experience,chat function on the website,App,Customers (companies) who buy THE BOX to rent it out via LivingPackets or use it themselves.,Rewards for returning to the cycle,Target price: 2-3??per use,,,,,,,,
,Investors (e.g. employees),Establishing and ensuring circularity,integrated technologies,Participation in the circular economy of the future,online contact form,Social media,"End consumers who get their order delivered in THE BOX, use the app to monitor it and bring THE BOX back into circulation",Pilot projects,depending on additional services and the delivered goods,,,,,,,,
,Online retailers,Establishing a partner network,App,More cost-effective than conventional packaging in the long term,Newsletter,Events (e.g. CES),,technical development of THE BOX,Buy&Rent: 399 ??,,,,,,,,
,Customers (companies),Offer various services to enable safe and sustainable delivery,"Services (packaging, insurance, payment, ...)",30% profit sharing with Buy&Rent,,Pilot projects,,Prototypes,Buy&Keep: 699 ??,,,,,,,,
,End consumers,,Community that supports the circular economy,THE BOX can also be reused for your own use,,,,Personnel costs,No revenue stream due to the free app,,,,,,,,
,Collection points for returning to the cycle,,,Easy tracking of the delivery via app,,,,Marketing and development of partner networks,,,,,,,,,
,,,,,,,,Development of the website and app,,,,,,,,,
,,,,,,,,Material and production costs,,,,,,,,,
,,,,,,,,Profit sharing with customers (companies),,,,,,,,,
"Nusret Gökce, the founder and owner, has an enormous reach on Instagram, which he uses for his own purposes and thus generates popularity. Nusr-Et does not need to spend money on marketing and campaigns, because the social media presence and the prominent customers in the restaurants are advertising enough.",Suppliers,Marketing (social media),Brand,High meat quality,Social Media,Website,Guests (Restaurant and Hotel),Human Resources,Restaurant guests,nusr-et,,,,,,,
,Investors,Expansion of the locations,Social Media,Exclusivity,Online Reservation,Youtube,Celebrities,Purchase of food,Hotel guests,,,,,,,,
,Hotels (Locations),Planning of new concepts,Restaurant concept,Service,Online application,Social media,People with higher income,Payments of fees (rent etc.),,,,,,,,,
,Consumers,,Expertise,Show and entertainment,Contact by phone,Blogs,,,,,,,,,,,
,Celebrity clients,,Celebrity clients,,,Public relations,,,,,,,,,,,
,,,,,,Word of mouth,,,,,,,,,,,
"Schrott24 does not disclose in its own information how exactly the company generates revenue. In a single article, which was not written by Schrott24 itself, commissions were mentioned as a source of income. How exactly these are practised and in what amount was not described in more detail.",Forwarding agencies,Matching of buyer and seller,A algorithm ,Trustworthy and reliable website,Website,Website,Scrap providers,Technology,Commissions,schrott24,,,,,,,
,Smelters,Transaction processing,Human capital,Effortless buying and selling of scrap metal ,Customer service,Social Networks,Scrap collector,Quality inspection,,,,,,,,,
,Traditional scrap metal dealers,Quality inspection of the scrap,Monetary capital,Transparency,,Public Relations,,Maintenance,,,,,,,,,
,Specialised scrap metal processors,Publication of daily updated metal prices,Efficient settlement processes,Fast and reliable processing,,Word of mouth,,,,,,,,,,,
,,Development and maintenance of the platform and the K-algorithm,Supplier network,Suitable and reliable metal suppliers,,Trade fairs,,,,,,,,,,,
,,,,Suitable and reputable buyers,,Associations,,,,,,,,,,,
,,,,High quality scrap,,,,,,,,,,,,,
"The use of sustainable, non-toxic and high-quality materials ensures that the furniture can be easily recycled and reused.",Suppliers of materials,The production of individualised furniture,Laboratory,Environmentally friendly and sustainable furniture production,Online-Shop/Website,Website,Sustainability-conscious customers,Wages and salaries,Product sales,model-no,,,,,,,
,Suppliers,The use of reusable and non-toxic materials,Production,Customisable,Soziale Medien und Blog,Social Media,Design-savvy customers,Human Research,,,,,,,,,
,Customers,Circular Economy,Team,,Muster und Farbmuster,Blogs,(private clients or companies in each case),Research,,,,,,,,,
,"Magazines (design, interior, sustainability,..)",,Technical experts (3D print),,Ausstellungsraum,PR,,Raw Materials,,,,,,,,,
,,,,,,Magazines,,Logistics and distribution,,,,,,,,,
,,,,,,,,Other variable costs,,,,,,,,,
,,,,,,,,Other fixed costs,,,,,,,,,
"The bigger the Magic Leap virtual society becomes, the more attractive it is. And the more attractive it becomes, the bigger it gets. ",Investoren (Google und Alibaba Group),Innovation,Team,Innovative ways to interact with virtual images in the physical world,Support team,Web based contact,Content developer,Production and Engineering,Contract fees,magic-leap,,,,,,,
,Entwickler,R & D,Know-How and Expertise,,Online application,Cooperate contact,End consumers,Legal Maintenance,Licensing,,,,,,,,
,Produzenten von Inhalten (z.B. Disney),IT Infrastructure Maintenance,Team,,Events,Presse,Company,Employees,Advertisement,,,,,,,,
,Magic Leap Studios,Testing,Patent,,Virtual,Social Media,,Platform Development,,,,,,,,,
,Akquisitionen,Content Production,IT Infrastructure,,Digital,,,R&D DEPARTMENT,,,,,,,,,
,,Platform Development,Intellectual Property,,Collaboration,,,Cyber Security,,,,,,,,,
,,,Metaverse,,,,,"Other fixed costs (such as office rent, etc.)",,,,,,,,,
"The collaborative creation of virtual worlds is central and essential for the concept to work. Users communicate with each other, organise themselves and ultimately create value in the form of digital commons of knowledge, software and design through collaborative work and without competition.",Government,Innovation,NFTs,The provision of open source software to create a decentralised virtual ecosystem.,Support team,Website,Krypto-Aficionados,Databases/Server Infrastructure,Transaktionskosten,decentraland,,,,,,,
,Media,R & D,Know-How and Expertise,Making the cryptocurrency MANA public through the non-profit organisation Decentraland Foundation.,Online application,Medien,NFT Künstler,Legal Maintenance,Sale of LAND,,,,,,,,
,Business,IT Infrastructure Preservation,Team,Play-to-earn: Entertainment that can be used to make money,Events,Payment Wallets,Individuelle User,Employees,,,,,,,,,
