Company,Description,Key Partners,Key Activities,Key Resources,Value Propositions,Customer Relationships,Channels,Customer Segments,Cost Structure,Revenue Streams
monocle,"Monocle is a media brand offering content on global affairs, business, culture, design and other topics through print (magazine), a round-the-clock radio station called Monocle 24, and its website. It is a new breed of media company, designed around a special image for a sophisticated, niche customer segment. It successfully uses its image and access to global customers to sell media content and goods fitting its image through the various channels.","Global network of freelance correspondents, Strong partnerships with luxury goods producers (e.g. Porter, Barena, Ettinger, ...), Strong partnership with companies for sponsoring (e.g. GE, Blackberry, Rolex, Pictet)., Hyatt hotels","Content production, Relationship building with key partners","Global team, Global network of freelance correspondents, Access to luxury goods companies","A global briefing on international affairs, business, culture and design, Feel as being part of a global business elite, Magazine, Film, Radio, Shop, App, Image transfer from Monocle to your brand / company, Space and opportunities for exposure going beyond simple advertising, Access to a global, sophisticated audience","Global image, The feeling to be part of a certain global community","www.monocle.com, App, Own retail shops, Book stores and magazine shops, web-based radio station","Internationally minded, sophisticated people, Primarily luxury goods producers and high end hospitality companies","Content production, Permanent and freelance staff, Printing, Distribution","Sales of magazine, Magazine subscriptions, Sales of goods, Advertising"
motel-one,"Motel One is a low-budget hotel. Despite a no-frills concept and attractive prices all hotels allure guests with premium interior design, high quality standards and their central locations. The concept was awarded several times in the past for its innovative strength, great service as well its investment performances.",Booking websites,Operation and management of hotels,Hotels at central locations,"Low-budget accomodation combining attractive prices, high quality and central locations, No-frills concept combined with modern design, Hotel-rooms reduced to what guests really need, ****-star comfort for a **-price",Standardized offer across locations assures people to get what they expect,"Motel One website, Booking via mobile devices, Booking & travel websites","Travelers on a budget, Business travelers",Hotel operations,"Room fees, Extras"
mu-by-peugeot,"Mu by Peugeot is a comprehensive mobility service. Unlike other car sharing services it offers a full range of vehicles from scooters, the small 107 up to the 5008 van and trucks, including electric and hybrid vehicles and even campers. As of August 2015, the service is available in France, Germany, Italy, Spain and the UK.",Car dealerships,"Marketing, User management, Car cleaning, maintenance, fueling","Car fleet, Car dealerships as retail locations","Mobility solution without ownership at an affordable price, Flexible usage, The fleet includes multiple car types for various purposes covering the full range of the Peugeot offer","Long term relationship through the use of credits, Increase customer loyalty through offering multiple types of vehicles covering all possible needs","Website, Fixed retail locations, usually through a Peugeot car dealership in more than a hundred cities in France and across Europe (England, Germany, Spain, Italy, Belgium and Switzerland), iPhone app","Young metropolitan city dwellers, Everybody in need of a bigger car for special purposes","Vehicles, Fleet management, Car cleaning, fueling, maintenance, Cost for improper use (damages, tickets, ...), User management / Administration, Dealer network management","Pay per use. Peugeot uses a credit system. You charge your account with money, which is transformed into credits that can be used towards how long you use a car"
houzz,"Houzz created an online platform for home remodeling and design to provide comprehensive information about every step of the home improvement process, starting from decorating a room to building an addition, a remodel, or a custom house. It features the largest residential design database in the world in which users can browse photos of residential architecture by room, style, and location and save them in their customized collection called ""Ideabooks"". The social aspect is an essential part of the platform such that users can easily interact with each other, exchange their experiences, and ask questions about the pictures put online.","Suppliers, Retailers","Building & maintaining IT infrastructure, Design, Marketing, Partnership & community management, Editorial, Local sales","Online platform, Online community, High-class content","Large & active community, Products for the entire home, Integrated shopping experience, High brand exposure, Easier access to customers","Online community, Webinar & tutorials, Pro Center - resources for profile optimization & website-building tool for professionals","Online platform, Mobile application, Word of mouth","Homeowners, People who like to remodel or decorate their homes, Vendors & brands, Home-related service providers such as architects, Advertisers","IT infrastructure, Human resources, Online content","15% referral fee on the total sale on the marketplace, premium listing fees, Advertising"
grameen-bank,"The Grameen Bank is a Nobel Peace Prize-winning microfinance organization and community development bank founded in Bangladesh. It provides small loans (known as microcredit or ""grameencredit"") to the impoverished without requiring collateral with the aim of combating poverty.",Government,"Field work, Lending & collecting payments","100 per cent of loans are financed from bank’s deposits, Field workers, Loan delivery system","Provide micro-credit loans to ""unbankable"" customers in developing countries and regions, No collateral needed, Financial independence among poor people, Social development","Build on trust (no legal, no collateral)","Branches, Borrower ""centers"" linked to the Grameen bank","Classes of people formerly not served by the traditional banking system: the poor, women (98% of customers), illiterate, unemployed people; unbankable customers, Borrowers are organized into small homogeneous groups, Exclusive focus on the poorest of the poor","Branches, Field workers, Capital costs",Interest
aman-resorts,"Aman Resorts is a luxury hotel group that owns, manages, and markets small upscale resorts across the world. Founded in 1988, Aman pursues an exclusive retreat concept that caters to the needs of the elite segment of the global travel market. As of November 2015, the company has grown to 30 resorts, hotels and residences across 20 countries, such as Bhutan, China, French Polynesia, France, Morocco, Turkey, Greece, and Italy.","Suppliers, Real estate agencies","Sales, Reservations management, Hospitality, Real estate acquisition, Design","Unique locations of the properties, Concept of providing lifestyle instead of hospitality, Brand","Exceptional location and design, Privacy and calmness in the resorts, Special offers for seightseeing, Closeness to the natural and cultural setting, High-class personalized service","Highly personalized, Long-term","World of mouth by ""Aman Junkies""",Affluent travellers,"Sourcing, Staff, Real estate, Business operations","High-priced room rates, Sales of properties"
netflix,"Netflix is the world's leading Internet television network which provides entertainment content by using video streaming technology. In addition it complements its service business model in the video-on-demand sector by offering unlimited DVD rentals with both services available in exchange for a subscription fee. The company operates in nearly 50 countries and has over 53 million subscribers who can watch TV shows and movies, including original series, documentaries and feature films. The service can be accessed anytime, anywhere, on almost every Internet-connected device and without commercials.","Content providers (studios), Postal service, Hardware manufacturers, Internet providers","Processing of DVD rental, Licensing of content, Software development","IT infrastructure, Large number of DVDs, Licensed content","Price & accessibility, Flat-rate DVD rentals, DVD-by-mail service is very convenient for customers, Unlimited TV shows and movies streamed instantly over the Internet, TV shows and movies can be watched on various platforms (TVs, gaming consoles, smartphones, tablets, PCs)","Self-service, Automated service","Website, Mobile app, Other devices (e.g., video game consoles, smart TVs)","Fans of movies and TV series, Mass market","IT infrastructure, DVDs inventory, Content licensing","Monthly subscription, Advertising on DVD envelopes"
refinery29,"Refinery29 is a lifestyle platform connecting visitors and subscribers with content, commerce, and community for a more stylish life. Refinery29 started as an local online guide to New York's hip and independent retailers and turned to a next generation fashion media platform over the last years. The offer includes news, entertainment, support to cultivate the customer's entire shopping funnel and a place where readers are invited to read, chat, shop, and share.","Brands in home, music, fashion and design categories, Media companies","Acquisition of media brands, Creation & maintenance of technological infrastructure, Marketing, Editorial activities, Creativity & design, Ad sales operations","Brands, Subscribers and website visitors, Good stories","Inspiration, tips & tools for a more stylish and creative life, 24/7 original editorial content, Global & local newsletters, Content, community & commerce, Innovative integrated content, Wide selection of solutions for brands (e.g. branded videos or socially charged custom-content programs), High traffic, big community","Communities, Social media","Website, Mobile reader","People passionate about the fashion world, Consumers: ever discerning, plugged in & on-the-go, Advertisers","Maintenance of the website, Human resources","Advertising, Commerce"
amazon-services,"Amazon Services targets businesses of all sizes to provide products and solutions backed by the power of Amazon. Business owners can sell their products on Amazon Marketplace and make use of Amazon's fulfillment services to manage shipping and provide trusted customer service. In addition, they can advertise their products to Amazon.com shoppers to drive traffic to their website and make use of a facilitated buying experience for their customers who can use their Amazon account through Amazon Payments. Amazon Services also enables to build a branded eCommerce website thus helping make the website more successful.",,"Business development, Software development","Brand, Software, IT Infrastructure, Fulfillment Infrastructure","Selling on Amazon, Payment Solutions, Fulfillment by Amazon, Advertise on Amazon, Amazon Webstore ""Build a Website""",Long term relationship by offering a hassle free convenient customer experience,Dedicated Amazon Services website,"Small and medium sized businesses looking for an increase in their sales, Small and medium sized businesses looking to outsource some of their fulfillment and payment related operations, Individuals wanting to sell online","IT Infrastructure, Fulfillment, Software development","Per month subscription fee for businesses + selling expenses, Per sale fee for individuals + selling expenses, Payment: 2.9% +0.30$ per transaction, Advertisting: cost-per-click"
anticafe,"AntiCafé provides its customers with unlimited coffee, tea, snacks and fast Wi-Fi in return for an hourly fee. The main principle is to create a cozy and convenient place to make customers feel home. Thus, customers can even bring their own food and soft drinks. In addition, the café runs a small library and is equipped with board games, printer, projector, and scanner which can be used by the visitors.",Design company,Operation and maintenance of coffee shop,Coffee shop,"Guests pay for time instead of consumption, Free coffee & tea, wifi, snacks, Possibility to consume own food/ soft drinks, Cozy place for work and fun, Space for social events","Community, Newsletter, Social media","Coffeshop (brick and mortar), Word of mouth/networking events","People seeking a space to (co-)work, learn, read or relax","Operating costs for coffee shop, Costs for food, beverages, and Internet","Fees for first hour, extra hours, day, or month"
travel2change,"travel2change is the a community where members are empowered to use their passion to create change for a sustainable and peaceful future. The company follows a platform business model where value is co-created by community members. Travelers and locals are empowered to create projects that make travel better. By crowdsourcing the activities traditionally performed by volunteer travel providers, travel2change innovates the way volunteer travellers can connect with locals. Value is currently captured by providing companies an opportunity to run challenges that are in line with their corporate social responsibility strategy.","Travel partners (airlines, booking sites) linking to travel2change and exchange travel2change miles with airline miles, Tourist agencies seeking to improve destinations","Provide platform where community connects and creates projects, Inspire and support project creation","User profiles, Project content, Platform technology","Making travel meaningful by enabling travellers to use their passion to travel with a purpose, Making travel beneficial by enabling locals to find passionate travellers to work with, Travel industry can improve destination offer","Community members are co-creators of projects, Network of local individuals and nonprofits who supply and shape projects","Online crowdsourcing platform that builds connections and fosters collaboration, Ambassadors building local networks","Responsible travellers who booked a trip and seek meaningful activities, Volunteer travellers who want to travel with a purpose, Locals (individuals and organizations) who benefit from travellers’ support","IT, Marketing costs, Travel costs, Grant expenses","Sponsored challenges, Sponsored content, Travel partnerships, Technology licensing"
m-pesa,"M-Pesa offers customers a sms-based money tranfer system, allowing to deposit, send, and withdraw finances. Safaricom subscribers can create a M-Pesa account and upload credit by depositing cash at some of the M-Pesa agents that are either Safaricom dealers, selected banks, or local dealers including airtime resellers. These M-Pesa partners operate as banking agents since many M-Pesa customers do not have bank accounts and thus are not able to transfer money on their M-Pesa account.","Safaricom dealers, Selected banks, Local retail outlets","Payment management, Customer service, Marketing & sales, Partnership management","M- Pesa service platform, Large market share of Safaricom, Selected agents, Relationship with regulatory institutions","Innovative mobile money transfer solution, Safe, convenient & comforting, Payment solution for business owners to serve their customers in a better way","Newsletter, Social media, Personal customer service","Safaricom shops, Authorized dealers & other retailers, Selected bank & microfinance institutions","Safaricom subscribers, Other people without a bank account, Business owners","Marketing, Human resources, Store maintenance & management, Network costs",Transaction charge ranging between 0.16% and 0.66%
donors-choose-org,"826 Valencia is a nonprofit organization devoted to help students ages six to eighteen with their creative and expository writing skills and to encourage teachers to arouse enthusiasm for literary arts in their students. The company bases its work on the understanding that strong writing skills are crucial for future success. Especially, when trained tutors work one-by-one with students a great progress can be achieved. The services are provided free of charge and include a range of programs for individual students, classrooms or schools in the Bay Area making writing fun.","Technology partners, Other foundations, Supporting companies","Technology & user experience, Partnerships & business development, Distribution of materials, Marketing",Online platform,"Easy to use & transparent, Broad range of different projects, Every amount of donation possible, eachers can realize their classroom projects, Personal thank-you notes from students","Personal thank-you notes, letter from teacher and photos of the project, Cost report to provide transparency to donors, Blog, Help center",Online platform,"Teachers, People who want to support a project, Organizations as citizen philanthropists","IT infrastructure, General activities","Donations for classroom projects and different programs, Payment fees of 3%"
flaviar,"Flaviar provides its club members with the service to try and to discover new drinks, such as Scotch, Rum or any other type of spirits. The Flaviar Tasting Packs are delivered upon subscription and allow the members to find out which flavors they like before they decide to purchase a full-size bottle. Flaviar offers a wide selection of beverages which varies over time thus keeping its customers always something new on hand.","Brands and suppliers, Logistics partners","Procurement & negotiations, Customer intelligence & customer service, Community management, Providing information on drinks, Packaging","Partnerships with renowned brands, Expertise in liquors","Provides an easy way to discover spirits and to learn something about them, Access to a large and varying collection of spirits, Flaviar Tasting Packs help to make sure you buy the spirit you really like, Exclusive club membership",Flaviar provides the experience of an exclusive club,"Online, Flaviar app","Lovers of fine spirits, Hosts who like to organize tasting parties with their friends","Procurement, IT infrastructure, Staff and operations, Shipping","One-time sales, Subscriptions (ranging from $18.99 to $69)"
emporia,"Emporia Telecom is the leading producer of easy-to-use mobile phones targeting senior citizens. Through specialising in mobile communication for seniors, it has found a niche market with growing demand. It has operations in 30 countries producing devices for a simple and barrier-free communication. A dedicated research department takes care of the development of these mobile phones by applying modern technology to simplify complex processes.","Retail partners, Mobile network operators, Emergency services (e.g., red cross), Research institutions","Design & production of cell phones tailored to the needs of elderly people, Sales",Know-how about specific needs of target group in using mobile phones,"Easy-to-use mobile phones meeting the needs of elderly people, Emergency features","Close contact to users to reveal needs of target group, Social media",Retail partners,Elderly people,"R&D, Manufacturing, Sales",Mobile phone sales
stance-socks,"Stance Socks is a fashion company that designs and distributes socks. It follows the philosophy that emphasizes expression and function thus reconciling comfort, performance, and emotional connection with the products. It uses high-quality materials to design socks for women and men in the categories ""performance"", ""casual"", and ""premium"" as well as socks for kids. Stance further partners with famous brands and celebrities for designs. As of September 2015, the company was present in over 40 countries worldwide. Stance was raising $50 million in early January 2015 to fund their entry into the underwear market. Stance raised an additional $30 million in April 2016 in a funding round headed by Mercato Partners and including returning investors August Capital, Kleiner Perkins Caufield & Byers, Menlo Ventures, Shasta Ventures, and Sherpa Capital.","Retailers, Brands & celebrities (e.g, Rihanna)","Design, Production management, E-commerce","Designers, High quality materials, Partnerships with","Socks for women & men in the categories ""performance"", ""casual"", and ""premium"", socks for kids, Design combines expression & function, High quality materials & best performance characteristics (great variety in terms of colors, length etc.)","Interaction on major social networking websites (e.g., Instagram)","Own webshop, Retailers, Specialty retailers such as skate, ski, and surf shops","Sportspeople, People who don't want to wear boring socks","Design, Marketing, Production & operating costs",Sales through retail and e-commerce
eventbrite,"Eventbrite is a global marketplace connecting event organizers and event attendees. It allows organizers to plan, promote, and sell tickets to events of all sizes which is facilitated by a wide range of features and tools. It operates a classic freemium business model as it does not charge for free events but takes a cut for paid events. Event attendees can easily buy tickets to events of their interest and discover new events. As of October 2015, the company has processed more than $3.5 billion in gross ticket sales and more than 200 million tickets in more than 180 countries.","CRM service, Partners for social commerce (e.g. Facebook)","Maintaining and developing the IT infrastructure, Marketing, Sales & business development, Marketing, Customer support","IT infrastructure, Inventory of events","Facilitates event organization with a wide range of features, Easy way to create and manage ticket sales, Provides access to tickets, Allows to discover events and provides personalized recommendations","Personal assistance, Self-service","Online, Mobile apps","Event organizers, Event attendees","Maintenance of IT infrastructure, Staff","Free for free events, Service fee (2.5% of ticket price + $0.99 per ticket), Payment processing fee (3% of ticket price)"
gkd-filtration-service,"Family-owned GKD is one of the world's leading technical weavers. The company produces innovative filter media, state-of-the-art process and conveyor belts. Furthermore, GKD is global market leader for metall mesh applications in architecture. With filtration solutions and services the company serves clearly defined submarkets in the solid/liquid separation sector. Customers stem from a wide range of industries, such as food-processing, chemicals, pharmaceuticals, aerospace, electronics, mining as well as architecture and design.","Cooperations with Universities, partner companies and customers","Building filtration expertise, Development of filtration systems","Competence in different kinds of weaving processes, Highly-qualified employees","High competence in filtration processes, Technical consulting expertise and service from a single source, Simulation services","Close and long-term relationship, Filtration solutions and services are developed in close cooperation with the customer",Intense contact to customers in developing individual solutions through sales team,End customers in automotive and metal working industry,"Investments in infrastructure (e.g., laboratory facilities) and know-how (e.g., hiring experts), Higher costs for sales processes","High prices charged for high-quality services and filter system sales (fewer sales, but greater volumes)"
nintendo-wii,"Nintendo is a Japanese multinational consumer electronics company manufacturing and selling products such as home consoles (e.g., Nintendo Entertainment System or Wii), handheld consoles (e.g., Game Boy or Nintendo 3DS), and the respective software. The introduction of the video game console Wii boosted the sales immensely, primarily driven by the newly created Wii remote allowing users to play games by connecting their physical movements to it. As of March 31, 2015, the Wii has sold 101.52 million consoles worldwide.","Game developers, Hardware manufactures providing components","Development of motion technology, Attracting game developers",Motion technology,"Motion controlled video games, Fun for the whole family, Less features = lower price","Motion technology and rather simple games attract new customers, Lock-in effect through console specific games",Retail,"Casual gamers & families, Game developers","Costs for development of motion technology, Console production costs","Console sales, Royalty fees for games"
ryanair,Ryanair is an Irish low-cost airline headquartered in Dublin which was established in 1985 by the Ryan family with one plane flying once a day carrying passengers between Waterford in the south- east of Ireland to Gatwick airport in London. The expansion occurred cured rapidly and the rise of Ryanair as a successful short-haul budget airline was in particular promoted by the deregulation of the airline industry in Europe in 1997 which strengthened the company's competitiveness compared to existing traditional airlines.,"European airports, Airport service companies, Catering suppliers, Political & legal authorities","Flight operations, Online ticket sales, Customer service, Aircraft maintenance","Aircraft fleet, Concept of streamlined outfitting of aircrafts, Access to secondary airports",Flight with the lowest fares,"Transactional, Costs before customer service, Call center",Website,"Low-budget traveller who compromise on comfort, Frequent traveller, Secondary airports traveller","Aircraft provision, Aircraft ownership & maintenance, Fuel, Route charges, Website maintenance, Wages for pilots and cabin crew/ staff","Ticket sales, Ticket-related fees or additional charges, Advertising, Subsidies from airports"
sevenventures,"SevenVentures is the venture arm of the ProSiebenSat.1 Group, one of the leading media companies in Europe and Germany’s largest television network. SevenVentures invests with media performance in promising products and services and provides companies with the opportunity to broadcast TV media on the SAT.1, ProSieben and kabel eins channels. SevenVentures provides media-for-revenue and media-for-equity giving companies advertising time in return for revenue-sharing or equity. Since 2013, the company expanded to Austria, Switzerland, USA, and Great Britain.","ProSiebenSat.1, Network of agencies and producers","Finding investment targets, Due diligence, Providing marketing expertise to the companies in the portfolio","Advertising and media from the ProSiebenSat.1 network of television stations, Marketing knowhow and expertise","Media investment offering advertising time for revenue share or equity, Customised and profitable TV media as growth capital, Creation of effective cross-media campaigns for optimal use of TV media as a lead media, Best practice campaign management (media planning, creative communications solutions/services, KPI-based target tracking and optimisation), Possible support through incubation/shared services in Berlin and Munich, Use of the extensive network of agencies and producers",Customized participation,Direct contact,"Start-Ups, Young companies with proven business models, Small and medium sized enterprises, Particular focus on lifestyle and digital commerce industries and companies",Staff,"Minimum guarantee, Revenue share, Dividends from equity, Proceeds from sales of equity"
mckinsey-co,"McKinsey & Company is the classic management consulting firm and its traditional business model is focused on selling industry and functional expertise and bespoke diagnoses through its consultants. Projects are usually billed by the day or as fixed per project fees. Recently, McKinsey has invested in a couple of business model innovations, most notably McKinsey Solutions.",Alumni,"Research, Education and training of employees, Recruiting, Software and solution development","Image, brand, and reputation, Global presence, Human Capital: Specialist expert knowledge in industries and functional practices, Dedicated software, IT and solutions experts, Intellectual property: e.g. frameworks, processes, data","Consulting: individual, judgement based and tailored analysis and advice. Providing expertise the customer usually lacks., Special consulting services: - McKinsey Implementation - McKinsey Recovery & Transformation Services, McKinsey Solutions incl. Advanced Data & Analytics","Long term, often personal, relationships, Long term project based, Shorter projects","Personal contacts, Dedicated solutions website: http://solutions.mckinsey.com/index/",A multitude of industries and sectors,"Consultants, Support and research staff, Infrastructure, Global presence","Consulting fees (usually per diem), Subscriptions and fixed prices per deliverable output"
rabobank-group,"Rabobank Group is a full-range financial services provider based on cooperative principles. Its sphere of action comprises banking, capital management, leasing, insurance and real estate. It is a world leader in Food and Agri business financing as well as in sustainability-oriented projects. With this, it adopted a ‘dual bottom line’ approach which combines the fiscal performance with a positive social impact. The group is represented with more than 200 branches in over 42 countries across Europe, the Americas, Asia, Australia and New Zealand.","Members, Partners for renewable energy projects, Other economic actors, Local authorities","Financial advisory, Research & analytics, Membership administration, Sales","Knowledge in food & agribusiness, Members of the cooperative, Dense branch network","Personal banking: savings for customers due to its lean management of online banking, Business banking: especially extensive knowledge in food and agri financing, Rabo Corporate Connect, Proximity to its members, Pursuit of social goals","Personal and long-term, Clients can choose to become members","Local credit unions in the Netherlands, Head office in the Netherlands, Specialized international offices, Online","Private customers, Businesses, Focus on food and agribusiness clients","Operational costs of the branch network, Real estate/ lease, Staff, Sponsoring","Interests, Cooperative funds, Additional banking fees"
flinkster,"Flinkster is a carsharing service provided by the railway and logistics company Deutsche Bahn in Germany. It has become a big carsharing network where car rental stations are connected to railway stations in more than 140 cities across the nation. As of June 2015, users of Flinkster are also granted access to the service of the carsharing competitor ShareNow, which is provided by the carmakers Daimler and BMW. In total, approximately 7,000 vehicles can be used now by customers of both providers without any additional registration.","Car2Go, Railway provider, Car service stations, Local public transport providers","Vehicle provision and servicing, Car station management, Sales","Car pool, Car rental stations, Sales staff","Mobility after travelling by train, Free registration for Bahncard holders, Low hourly rates, No monthly fees, Big carsharing network","Membership contracts, Customer service via website, mobile app, hotline, Facebook, Twitter","Website, Mobile application, Distribution outlets","Railway passengers, Bahncard holders, Business clients, Green-minded persons, Persons without an own automobile","Rent for parking, Automobile payment (insurance & maintenance), Human resources","Nationwide package including registration fees, Local rate package including a monthly membership fee, Business carsharing including registration fees, Security package, Penalty fees"
glossybox,GlossyBox is an online subscription service providing beauty enthusiasts with samples of top beauty products from well known luxury brands and up-and-coming niche brands. Customers order the products online and receive a prettily packaged makeup box containing five travel size beauty products each month. The items are carefully selected by the company's cosmetics experts who also provide tips on how to use the samples in the best way.,"Brands, Logistics, Affiliate program","Assortment of the boxes, Logistics, Brand & customer acquisition and management, Marketing, Trend research","Customer data, Partnership with brands","Tailored product samples, Opportunity to test novel beauty on a regular basis, Excitement for the ""unknown"" (samples remain a surprise until the box is opened), Access to beauty tips, Easy access to the target group, Mandate for Discovery Marketing","Individual profile for the samples, Care","Mail (box delivery), Website, Magazine (online + print)","Female beauty & cosmetics enthusiasts (early adopters), Other beauty lovers (men & teens)","Supply chain, Marketing & sales, Staff","Monthly subscriptions, Advertising in the magazine"
fahrenheit-212,"Fahrenheit 212 is a privately-held innovation consulting firm based in New York and San Francisco, working with clients to grow their businesses by identifying, developing, designing and implementing profitable new products and services. Its portfolio ranges from products and services to healthcare, food, and technology innovation. Fahrenheit 212’s method includes problems of both the consumer and business combining the constraints of the business together with the needs of the consumer.","Catterton Partners: exclusive partnership with private equity firm in the consumer sector, BeDo, Wool Research Organisation of New Zealand Inc.","Recruiting, Business Development, Client projects","Diverse Team, Business model: 2/3 of potential fee are performance based, Special approach to the innovation process, Image","Growth through innovation, Analytical & Creative: catering to the needs of the customer and the business, Money & Magic (TM): Money & Magic is a unique perspective on innovation, and one that has demonstrated a consistently better return on investment for clients, Risk & Reward: Two-thirds of the potential revenue is contingent on the success of the project","Close, long term relationships","Business development team, Key partners","Businesses of a certain size having the potential to create additional revenues of 100 Mio USD plus, Focus on consumer goods",Staff,"Fixed fee: 1/3 of total, Performance based fee: 2/3 are bound to the innovation hitting pre-agreed targets"
gkd-mediamesh,"Family-owned GKD is one of the world's leading technical weavers. The company produces innovative filter media, state-of-the-art process and conveyor belts. Furthermore, GKD is global market leader for metall mesh applications in architecture. With filtration solutions and services the company serves clearly defined submarkets in the solid/liquid separation sector. Customers stem from a wide range of industries, such as food-processing, chemicals, pharmaceuticals, aerospace, electronics, mining as well as architecture and design.","Out-of-home advertising companies, Building owners, Advertising agency, Architects",Establish and maintain close contact to advertising companies,"Competence regarding wire mesh and LED technology for media facades, IP","Design, manufacturing, installation and operation of media facades, Provision of seamless content delivery","Short-term, project-based",Intense contact to customers in developing individual solutions,"Advertising agencies, Out-of-home advertising companies, Building owners",Cost for individual product development & distribution & operation,Sales of minutes of seamless content transmission
innocentive,"InnoCentive is a global open innovation and crowdsourcing corporation headquartered in Waltham, Massachusetts, with an EMEA headquarter in London, United Kingdom. They enable organizations to address unsolved problems and unmet needs by posing them as 'Challenges' to the crowd. The crowd can be external (i.e., their network of over 380,000 issue solvers) or internal (i.e., an organization's workers, partners, or customers) in the case of InnoCentive. Awards, which are often monetary in nature, are provided for contributions that match the Challenge's conditions. The average prize for a Challenge is $20,000, although several exceed $100,000. InnoCentive has conducted over 2,000 external Challenges and over 1,000 internal Challenges to date, giving over $20 million in prize money.","Alliance ecosystem partners for network, integration, affiliate or region","Development & maintenance of marketplace, Acquisition of seekers & solvers, Consulting & customer service, Challenge management, Community management","Cloud-based innovation management platform, Global network of problem solvers, Proven challenge methodology","Access to a large pool of Solvers, Benefits of outsourced R&D:, Lower costs Risk reduction Faster problem solving, Access to interesting challenges in R&D, Benefits: Making a social impact Financial compensation Reputation Granted IP","Personal & dedicated support, Social media, Blog","Website, Mobile application","Seekers: Companies Foundations Government agencies Academic organizations, Solvers: Professionals Students","Acquisition costs, Maintenance of the electronic marketplace, Human resources","Fee per challenge posted, Commission based on the financial reward"
amazon-web-services,"Amazon Services targets businesses of all sizes to provide products and solutions backed by the power of Amazon. Business owners can sell their products on Amazon Marketplace and make use of Amazon's fulfillment services to manage shipping and provide trusted customer service. In addition, they can advertise their products to Amazon.com shoppers to drive traffic to their website and make use of a facilitated buying experience for their customers who can use their Amazon account through Amazon Payments. Amazon Services also enables to build a branded eCommerce website thus helping make the website more successful.","Consulting partners, Technology partners","IT infrastructure management, Software development, Support","Existing IT infrastructure, Image and brand","Broad & deep core cloud infrastructure services: computing, storage, database services, networking, administration & security, Rich platform services, Enterprise IT applications, Rapid access to flexible capacity and low cost IT resources, no upfront investment, Ready to deploy Amazon web apps and development tools, Global data centers","Long term relationships through offering customers a convenient experience, Automated support center, Trusted advisor as customized cloud expert, Training & certification for customers",Dedicated Amazon Services website,"Start-ups, Enterprises, Public sector","IT Infrastructure, Support center, Staff","Free usage tier, Pay-as-you-go pricing, Commercial software is charged by the hour, Prices were lowered 47 times in the past six years"
live-nation,"Live Nation is a global live events company and a subsidiary of Live Nation Entertainment. It operates a multi-sided platform by bringing together fans, venues, advertisers, ticketing and artists in a multi-sided market. Thus, it is a fully integrated music platform business with live concerts as the content.","Venues, Sponsors","Maintenance and development of the online services, Food services & hospitality, Customer support, Facilities/ Maintenance of venues, Marketing","Brand, E-commerce platform, Partnerships with venues","Provides a convenient way for concertgoers to purchase tickets, Large customer base, Ticketing services for venues, Management services and promotion for artists","Transactional, Long-term","Retail network, Online, Apps","Concertgoers, Advertisers, Event venues, Artists","Venue operation, Maintenance of IT infrastructure, Human resources","Revenues from promotion activities: parking fees and concession sales, Advertising fees, Service fees on ticket sales, Commission for management services for artists"
groupon,"Groupon offers consumers discounted gift certificates (coupons) usable for local businesses e.g., restraurants, or online shops. Upon subscription on its website or its mobile application available on iPhone, Android, Blackberry and Windows Phone, users receive notifications of the latest deals based on their preferences. By buying deals on their phones, users can redeem them using the screen as a coupon to be scanned. Merchants offering their products or services must provide discounts of 50% or more compared to the regular price. As of March 2015, Groupon served more than 500 markets, had nearly 48.1 million active customers, and featured more than 425,000 active deals worldwide.","Internet provider, Partners to develop and improve payment systems","Online marketing, Merchant enrollment (B2B sales), Transaction management, Data intelligence, Platform development","Broad user base (consumers), Merchant database, Brand, Web platform","Large discounts for products or services, Lead generation & advertising, Platform to handle transactions","Going viral through users recommending deals they like to their peers, Strong brand, reliability, trust, Transactional","Website, E-Mail, Mobile App, Social networks, Sales force to acquire merchants","Consumers, Merchants","Marketing costs, Merchant acquistion costs, Platform development and maintenance","% 50 commision of the post-discount value of coupons sold, Fees for payment services"
badoo,"Badoo is a social network designed for chatting, making friends, meeting people from the vicinity, and dating. Its value lies in the so-called ""social discovery"" meaning that a website presents content that is likely to be desirable or relevant to an individual based on his or her preferences. In this business model, it is the IP-based geolocation that meets the users' need of real-time in-person social interaction. By providing a freemium model, users are paying for self-promotion to be able to meet more new people.","Payment partners, Affiliate partner program","Creating & maintaining IT infrastructure, Quality assurance, Community management/ customer service, Product development","Online & mobile IT infrastracture, Approach based on local needs of the community members","Fun & entertaining, Modern, fast, and easy way to connect with other users, Finding and being found by people with common interests","Emotional, Gamification","Badoo.com, Social/mobile platfoms ( iOS, Android, Windows Phone, Facebook & desktop application","Young individuals who want to make new friends, People looking for a date, Businesses and brands","IT related costs, Human resources, Administration costs",Fee for premium services (one time or monthly charge)
